[p=0.25,q=2.00]: base 0.0515 | best_gamma 0.21544346900318823 | best_diffused 0.1184                                        
[p=0.25,q=1.00]: base 0.0526 | best_gamma 1.0 | best_diffused 0.1203                                                        
[p=0.25,q=4.00]: base 0.0516 | best_gamma 1.0 | best_diffused 0.1203                                                        
[p=1.00,q=2.00]: base 0.0518 | best_gamma 0.46415888336127775 | best_diffused 0.1206                                        
[p=1.00,q=1.00]: base 0.0526 | best_gamma 0.46415888336127775 | best_diffused 0.1208                                        
[p=1.00,q=4.00]: base 0.0529 | best_gamma 0.46415888336127775 | best_diffused 0.1149                                        
[p=1.00,q=0.50]: base 0.0507 | best_gamma 1.0 | best_diffused 0.1168                                                        
[p=1.00,q=0.25]: base 0.0513 | best_gamma 1.0 | best_diffused 0.1211                                                        
[p=0.50,q=4.00]: base 0.0520 | best_gamma 1.0 | best_diffused 0.1146                                                        
[p=4.00,q=4.00]: base 0.0545 | best_gamma 0.21544346900318823 | best_diffused 0.1182                                        
[p=4.00,q=0.25]: base 0.0520 | best_gamma 0.46415888336127775 | best_diffused 0.1219                                        
[p=4.00,q=1.00]: base 0.0537 | best_gamma 1.0 | best_diffused 0.1207                                                        
[p=0.50,q=0.50]: base 0.0536 | best_gamma 1.0 | best_diffused 0.1195                                                        
[p=0.25,q=0.25]: base 0.0536 | best_gamma 0.21544346900318823 | best_diffused 0.1170                                        
[p=0.50,q=2.00]: base 0.0533 | best_gamma 1.0 | best_diffused 0.1172                                                        
[p=2.00,q=0.25]: base 0.0514 | best_gamma 1.0 | best_diffused 0.1214                                                        
[p=4.00,q=2.00]: base 0.0515 | best_gamma 0.46415888336127775 | best_diffused 0.1140                                        
[p=4.00,q=0.50]: base 0.0517 | best_gamma 0.46415888336127775 | best_diffused 0.1252                                        
[p=0.25,q=0.50]: base 0.0513 | best_gamma 1.0 | best_diffused 0.1258                                                        
[p=0.50,q=1.00]: base 0.0523 | best_gamma 0.46415888336127775 | best_diffused 0.1179                                        
[p=2.00,q=4.00]: base 0.0535 | best_gamma 1.0 | best_diffused 0.1180                                                        
[p=2.00,q=0.50]: base 0.0531 | best_gamma 0.46415888336127775 | best_diffused 0.1222                                        
[p=0.50,q=0.25]: base 0.0529 | best_gamma 0.21544346900318823 | best_diffused 0.1223                                        
[p=2.00,q=2.00]: base 0.0523 | best_gamma 1.0 | best_diffused 0.1180                                                        
[p=2.00,q=1.00]: base 0.0521 | best_gamma 0.46415888336127775 | best_diffused 0.1177
